Timestamp,Humidity (%),Temperature (°C),Light (lux),Soil Moisture (%)
18:19:15,52.4,24.0,86.67,30.0
18:19:17,52.4,24.0,85.83,30.0
18:19:19,52.4,24.0,85.83,30.0
18:19:21,52.4,24.0,86.67,30.0
18:19:23,52.4,24.0,85.83,30.0
18:19:25,52.5,24.0,85.83,30.0
18:19:27,52.4,24.0,85.0,30.0
18:19:29,52.4,24.0,86.67,30.0
18:19:31,52.4,24.0,85.83,30.0
18:19:33,52.5,24.0,85.83,30.0
18:19:35,52.5,24.0,85.0,30.0
18:19:37,52.5,24.1,85.83,30.0
18:19:39,52.4,24.0,85.83,30.0
18:19:41,52.5,24.0,86.67,30.0
18:19:43,52.5,24.0,85.83,30.0
18:19:46,52.4,24.0,85.0,30.0
18:19:48,52.4,24.0,85.0,30.0
18:19:50,52.4,24.1,85.83,30.0
18:19:52,52.4,24.1,86.67,30.0
18:19:54,52.4,24.1,86.67,30.0
18:19:56,52.4,24.0,86.67,30.0
18:19:58,52.4,24.0,85.83,30.0
18:20:00,52.4,24.0,85.83,30.0
18:20:02,52.4,24.0,85.83,30.0
18:20:04,52.4,24.0,85.83,30.0
18:20:06,52.4,24.1,86.67,30.0
18:20:08,52.4,24.0,86.67,30.0
18:20:10,52.4,24.0,86.67,30.0
18:20:12,52.4,24.0,86.67,30.0
18:20:14,52.5,24.0,86.67,30.0
18:20:16,52.5,24.0,85.83,30.0
18:20:18,52.5,24.0,85.83,30.0
18:20:20,52.5,24.1,85.83,30.0
18:20:22,52.5,24.0,85.83,30.0
18:20:24,52.5,24.0,85.83,30.0
18:20:26,52.5,24.1,86.67,30.0
18:20:28,52.5,24.0,86.67,30.0
18:20:30,52.5,24.1,85.83,30.0
18:20:32,52.5,24.0,86.67,30.0
18:20:34,52.5,24.1,86.67,30.0
18:20:36,52.5,24.0,85.83,30.0
18:20:38,52.4,24.1,86.67,30.0
18:20:40,52.5,24.1,85.83,30.0
18:20:42,52.4,24.1,85.83,30.0
18:20:44,52.5,24.1,85.83,30.0
18:20:46,52.4,24.1,86.67,30.0
18:20:48,52.4,24.1,86.67,30.0
18:20:50,52.4,24.1,86.67,30.0
18:20:52,52.4,24.1,86.67,30.0
18:20:54,52.5,24.1,85.83,30.0
18:20:56,52.5,24.1,85.83,30.0
18:20:58,52.5,24.1,85.83,30.0
18:21:00,52.5,24.1,85.83,30.0
18:21:02,52.5,24.1,85.83,30.0
18:21:04,52.5,24.1,86.67,30.0
18:21:06,52.5,24.1,85.83,30.0
18:21:08,52.5,24.1,86.67,30.0
18:21:10,52.5,24.1,86.67,30.0
18:21:12,52.5,24.1,85.83,30.0
